web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href
1556763657-282|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Troy Groves|An amazing start!|31-Dec-12|A great start to the series! Lemony adds a touch of unfortunate events that lead to tons of luck cleverness and fun!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&filterByStar=five_star&pageNumber=29&reviewerType=all_reviews
1556763741-670|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Marissabagunas|enzo's nazaria book review|8-Feb-10|The book of lemony snicket is good it's full of adventure.I like klause because he always read books and he's a smart boy he know's everything.There were slaves because their parents died even their house is burn they dont have parents anymore.I dont like their uncle because he wants to kill he's  children and get their money.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&filterByStar=five_star&pageNumber=67&reviewerType=all_reviews
1556763683-404|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Michael S. Kraus|A Good Beginning to an Unhappy Story|7-Feb-17|"I believe this book has one of the greatest opening sentences.  The author announces that there will be no happy ending.  And he delivers.  There is no happy ending.

In this novel, the author does a good job of introducing the protagonists:  the Baudelaire orphans.

Violet is the eldest.  She is an inventor.
Klaus is the only boy.  He is a reader.
Sunny is a baby.  She likes to bite things, and people.

The antagonist is the evil Count Olaf.  He is an actor.  And he wants to gain control of the Baudelaire fortune.

The story tells of the Orphans' terrible bad luck.  Their parents have perished, their how has been destroyed by fire, the orphan's have been placed in Count Olaf's care by the incredibly stupid Mr. Poe.

The Baudelaire orphans are the heirs of a fortune.  They cannot access the fortune until Violet comes of age.  This fortune is why Count Olaf is so interested in the children.

There is no happy ending.  However, the orphan's do know how to use their intelligence to evade the Count's evil plot.

For me, the best part of reading this book is the fantastic voice the author uses in the form of the fictional narrator Lemony Snicket.

I plan to read the series in order."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&filterByStar=five_star&pageNumber=41&reviewerType=all_reviews
1556763681-392|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Love!|21-May-16|Easy ready but a great book! I never got a chance to read it as a child (my family wasn't big into books) but I'm older now and I absolutely love it!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&filterByStar=five_star&pageNumber=40&reviewerType=all_reviews
1556763736-647|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|maria aguilar|:)|8-Feb-17|four words: Count Olaf is evil.The begining is well unfortunate.First the death of thier(Sunny Klaus and Violet) parents,Then they hae to go with mister Po and finally they have to go with count olaf.Man this stuff is why i love to read.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&filterByStar=five_star&pageNumber=65&reviewerType=all_reviews
1556763725-593|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Asha Ogbu|The Bad Beginning|28-Dec-01|The Bad Beginning was the first book in the Baudelaire series. The Baudelaire children, Violet, Klaus, and Sunny, who were skipping rocks at Briny Beach, receive terrible news that their parents died in a terrible fire. Ever since then, the Baudelaires lves have been filled with misery and woe, starting with when they have been sent away to live with their terrible, greedy, and evil uncle, Count Olaf. The children have to do chores every day and cook food for Count Olaf's rude theater troupe, but things only get worse when the Baudelaires realize that Count Olaf is only after the enormous fortune the Baudelaire parents left behind. Klaus, then middle Baudelaire, is the one who figures out that Count Olaf wants to marry Klaus's older sister Violet literally in a play called The Marvelous Marriage in order to gain control of the Baudelaires fortune, and things get even worse when sunnt is hung from the top of a tower in a cage until Violet agrees to marry Count Olaf. You'll have to buy and read the book for yourself to see how the Baudelaires escaped from their miserable situation.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&filterByStar=five_star&pageNumber=60&reviewerType=all_reviews
1556763716-551|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Chloe|The first in a great series|1-Jan-04|"Ever read a children's book that combines humor, unfortunate events, an elusive author, and an interesting plot all in one? Unless you've read the A Series Of Unfortunate Events books, I doubt you can say that. These books chronicle the lives of three smart and clever orphans who must deal with bad, strange situations in each story. And it all starts off with just one fire...
Violet, Sunny, and Klaus Baudelaire were taking a walk on the beach one day, little knowing that soon, their life would be taking a drastic change. The three Baudelaire children were comfortably growing up in a large mansion. Sunny, the youngest, loved to bite things, Klaus loved to read books, and Violet was one of the best inventors around. On that fateful day, Mr. Poe, a banker and friend of the Baudelaires, approached them and told them that their parents had died in a fire that had destroyed their entire house and had killed their parents. Mr. Poe informed them that they would be staying with a relative named Count Olaf, who lived not too far away. Sunny, Klaus, and Violet immediately know upon arrival at Count Olaf's house that he was no ordinary man. First of all, his house was full of paintings of eyes that seemed to be staring straight back at you. Second, he was an actor and had a whole theater troupe full of strange actors, including a man with hooks for hands, two women that had completely white faces, and other strange characters. Third, Count Olaf's house was filthy and disgusting. Violet, Sunny, and Klaus were given one small room with filthy curtains, a lumpy bed, a cardboard box to use as a closet, a pile of rocks to play with instead of toys, and of course, a painting of an eye. Count Olaf made each child do chores every day, such as making dinner for his troupe or cutting up firewood for no apparent reason in the yard. A couple days after the three children arrive, Count Olaf announces that he will be doing a play in which Violet, Sunny, and Klaus would have parts in. In the play, titled ""The Marvelous Marriage,"" Violet would be the bride, Count Olaf would be the husband, and Sunny and Klaus would be two of the people invited to the wedding ceremony. Justice Strauss, Count Olaf's neighbor, would be the judge. The three children suspected that this play might be part of a plan, so Klaus and Violet borrowed some books about marriage and law from Justice Strauss' library. Klaus finally discovers that Count Olaf's play was all a plan to get the Baudelaire fortune by marrying her using an official document from City Hall, being in front of a judge (Justice Strauss), and having witnesses. Since Count Olaf was Violet's legal guardian, he had permission to allow her to marry, and once a husband had married his wife, all her money would be in Count Olaf's control. Violet, Sunny, and Klaus would have to find a way to stop Count Olaf from ruining their lives forever. The book ends at sort of a cliffhanger; so read the next book ""The Reptile Room"" to find out what's next in the Baudelaire's woeful lives."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&filterByStar=five_star&pageNumber=56&reviewerType=all_reviews
1556763771-803|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|J. Landers|audio books|22-Feb-08|These audio books help children that are having trouble with the written word. I also use them in the car, so each trip we hear more of the story. The kids love them and I think it makes them interested in reading.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&filterByStar=five_star&pageNumber=81&reviewerType=all_reviews
1556763668-332|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Paula|Great book|23-Jul-13|This was a great book!!! Although it is a sad story, i find it as an interesting book. Cant wait to read book2!!!!!!!  Ü|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&filterByStar=five_star&pageNumber=34&reviewerType=all_reviews
1556763625-144|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Debra R. Bush|Great book|14-Jun-13|This book shows that life isn't always good. In this case the three kids lost there parents and home in a fire, then had to later live with a nasty man named count Olfe. The one person that almost saved them from more terror is a woman of law named justice. But in the end she was not allowed to adopt the children and count and his accomplices escaped and didn't go to jail.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews
1556763632-177|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Michael Reeve|BEST BOOK EVER!!!!!!!!!!|14-May-17|This book is my 2nd favorite book in the series. I really like the part when sunny is hanging out... FROM A WINDOW.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews
1556763668-331|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kayla Jones|Loved it!|26-Dec-12|Haven't read the series in a long time so now I'm restarting it. Overall the Bad Beginning is a fantastic novel for all ages.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&filterByStar=five_star&pageNumber=34&reviewerType=all_reviews
1556763730-615|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|A. Book Attict|Spellbinding, terrific, wonderful, etc.|28-Jun-00|"After reading tremendous reviews of ""A Series of Unfortunate Events"", I purchased them from Amazon.com. Was I impressed? You bet! From the beginning chapters, when the parents of 14-year-old Violet,  12-year-old Klaus, and the newborn Sunny were killed in a monstrous fire, I  was enthralled. The orphans were taken to live with the horrendous Count  Olaf, who hit them, made them work, and tried to steal their fortune. Among  the aspects that amused me was one of Sunny saying a nonsense word which  the author described as meaning something relevant, such as  ""Gack"" meaning ""Look at that mysterious figure emerging from  the fog."" Some parts truly are sad, and some are morbidly funny.  Unlike some of the reviewers on this website, I have an imagination and I  thoroughly enjoyed this book and its sequels. I am eagerly anticipating the  release of #5: The Austere Academy. Read these books and I guarantee that,  if you have any sort of imagination, you'll love them!"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&filterByStar=five_star&pageNumber=62&reviewerType=all_reviews
1556763756-737|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jarred Ratzlaff|Five Stars|19-Jan-17|Read this only if you enjoy wretched tales.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_74?ie=UTF8&filterByStar=five_star&pageNumber=74&reviewerType=all_reviews
1556763743-677|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|A great beginning for a series of unfortunate events|30-Jan-02|"This book is a great beginning for a series of unfortunate events because i thought the characters were great and it was filled with mystery, misery, and humor.
At first the baudelaire orphans get told that there parents get killed in a house fire and then they have to go live with there evil relative named count olaf.  then everything is dreadful from three children sleeping in 1 room with only 1 bed to having a play that count olaf can take their money from. well, if u want to find out what happens, read the book! i did and i am already on the 5th book! i recommend it to everyone!"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&filterByStar=five_star&pageNumber=68&reviewerType=all_reviews
1556763743-674|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Emily|Truely A Different Approach to Childrens Literature|12-Jan-01|Writing a book about unfortunate events and unhappy endings is certainly a different approach in writing. The unusual sense of humor and plot of the book, in my opinion, attract kids to it. It was almost refreshing to have something other than a happy ending in a book, and someone letting kids know that the good guy doesn't always win. It entertains and keeps your attention to see what will happen next.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&filterByStar=five_star&pageNumber=68&reviewerType=all_reviews
1556763608-69|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|BeHonestAndKind|Amazing|1-Jul-14|Written by the child who read it: I must say, this book may be sad, but written very well. It also teaches you vocabulary through out the book. If you don't like stories with bad beginning, bad middle, happy semi end, bad end, then don't buy this book. Hopefully you like this book!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews
1556763758-744|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jamila D. Isaac|GOT HER WITH THE FIRST LINE|9-Jan-07|I GOT THIS FOR MY LITTLE COUSIN WHO LOVES TO READ AND SHE IS NOW HOOKED.  HER MOM NOW HAS TO BUY HER THE REST OF THE SERIES.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&filterByStar=five_star&pageNumber=75&reviewerType=all_reviews
1556763597-20|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|UndergroundAJ|Great addition to any collection|22-Jan-19|Brought this for my oldest son,we watched Netflix show Unfortunate events all seasons quite a few times n can't wait til he's done reading it so I can read it out loud to my youngest son|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews
1556763736-645|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Allycin~12|beat out Harry Potter by a trip to the moon and back.|12-May-01|-It starts with Violet, Klaus, and Sunny. They are all very creative. I have no idea how everything got so terrible for them. I can't believe that a house fire could make their lives so misrable.  -For example, cooking for Count Olaf and his drunken crew,|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&filterByStar=five_star&pageNumber=65&reviewerType=all_reviews
1556763601-38|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Tabitha Bear|Decent|7-Jan-13|"I currently work at a bookstore where children rave about this series. I promised a young girl I would read it, and although I am in my twenties, I enjoyed it very much. I think it's a great juvenile fiction story and I plan on reading the rest of the series.

If you're looking for a challenging chapter book for your child, I would recommend this. Not just for the creativity, but the vocabulary is advanced, with meanings provided by the author in the text which adds to the character of the narrator.

For those unaware of this series, it is more on the morbid side, but not in a crass way. It's incredibly tasteful, and the sad parts are represented in a way to be more relatable than downright depressing. The narrator feels more like a friend opening a door to the world around you to explain things than just a character telling you a string of events."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews
1556763612-87|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kevin the outdoor man|I love this book / series.|25-Jul-16|I read them when I was in school and every now and then I'll read it over again. This is a good book for any reader.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews
1556763739-655|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Judith C. Arakelian|Thrilling!|25-Jan-14|"Think twice about reading this book if you do not like happy ends!  This book is violent, action packed,Thrilling, and scary!
The title, The Bad Beginning is truly the best words to sum it all up.  It is such a good book for such a low price!  And with the Baulaware children, well now orphans there is no telling what they are capable of!

  Yours Truly,
  Grace age 9"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&filterByStar=five_star&pageNumber=66&reviewerType=all_reviews
1556763610-76|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Alex Solorzano|Five Stars|3-Mar-18|Great audiobook!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews
1556763697-466|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Eric Arismendi|A Sorrowful Start|24-Jun-06|"If you're looking for a good book to read, or a new and original series to begin - this is it!  ""The Bad Beginning"" is the first book in the ""A Series of Unfortunate Events"" book series.  This book is not your average book, and Lemony Snicket is not your average writer. In ""The Bad Beginning,"" the three happy Baudelaire children (Violet, Klaus, and Sunny) become the three sad Baudelaire orphans when they receive the news that they're parents had died in a terrible fire! Now, the children -along with an enormous fortune left behind by their parents, that they will posses once Violet (the eldest) comes of age- must go to live with their 'never heard-of' relative: Count Olaf. But, there's more to the actor and uncle, Count Olaf, than meets the eye. Could it be that Count Olaf simply wants to murder the children to earn their money, since he is their new legal guardian? Or could he just be a very nice man who treats the children really, really, really bad for no reason? A true must-read for all ages, Mr. Snicket is a very clever author who uses the element of suspense very good. If you want to know if the children escape Count Olaf's clutches and what will become of them, then you must read this! Plus, like any other ""I want your money"" story - there's a wedding at the end. But guess who's getting married to who?!"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=five_star&pageNumber=47&reviewerType=all_reviews
1556763621-121|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|lily ennis|Wonderful of course|31-Dec-13|I love this dark writing that is purportedly for children but actually for the inner child that resides within us all.  Everyone should read these books.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews
1556763705-506|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|miriamkb|The Perfect Book to Engage a Struggling Reader|22-Jan-11|"The Bad Beginning is the first installment of the slightly morbid chronicles of the Baudelaire children.  Lemony Snicket skillfully uses a refreshingly frank and humorous tone to guide readers through the chronic tragedies that these children face.
The recently orphaned Baudelaire siblings find themselves in need of a guardian.  They are placed in the hands of the unknown Count Olaf.  Regrettably, Count Olaf soon makes it clear that he is after the children's immense fortune.  Violet (the inventor), Klaus (the lover of books) and Sunny (the biter) must find a way to safeguard their fortune and keep their lives intact, all while struggling with the loss of their parents.
This first book in A Series of Unfortunate Events encourages a true love of reading as a source of entertainment and solace, but also as a means to provide solutions for sticky situations.  Without painting adults as incompetent, it shows the Baudelaires using their individual talents to problem-solve.
The Bad Beginning is at a good level for fifth and sixth graders.  I would caution that the somewhat grim subject matter of this series might be frightening to some.
However, I would strongly recommend this book to sixth and seventh graders with learning disabilities.  Snicket sprinkles definitions of words and phrases that might be unfamiliar throughout the story in a natural way that does not assume the reader's ignorance.  Short chapters make this book perfect for struggling readers.  Those who have social deficits would also interact well with this book as it points out information that they might not have naturally picked up on.  For example, the fact that toddlers, like Sunny, use their mouths as a way to gather information about the world around them might be new information to this type of reader."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&filterByStar=five_star&pageNumber=51&reviewerType=all_reviews
1556763648-249|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|T. Wetmore|Good read for young or old-er.|16-Jul-15|26 year old reading it for the first time and I love it; even though its target audience is for children.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=five_star&pageNumber=25&reviewerType=all_reviews
1556763705-501|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Angie VT|!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!|16-Jul-12|"I LOVE THIS SERIES SOOOOOOOOOOOOOOOOOOOOOOOOOOO MUCH!!!!!!!!!!!!!!!!!!!!! im 14 and i've read this series 9 times. i love the kids and even the villians. Lemony Snicket is a wizard with a pen for a wand; these books are absoletely brilliant! the author has made me laugh out loud and practically rolling on the floor with laughter at his delightfully depressing bouts of such knowledge that is so true it's amazing no one's noticed it before. he talks about things so nonchalantly that the truth behind his words are made hilarious ex: ""if you are alergic to a thing, it is best not to put that thing in your mouth, particularily if that thing is cats"" (wide window 102) i LOVE these books. i can practically recite them from memory. anyone who dopesn't read these books is spiralling closer to the end of their life, and without Lemony snicket, your death will be laughless and depressing. (""if you live each day as though it was your last, eventually you will be right,"" Horse radish, LS)

i think that thsi series isn't scary for youngsters at all. the only thing i would be converned about wuld be comprehension and some of the villans are rather scary... like the hook handed man or the one who looks like niether a man nor a woman... other than that, iv had five year old i've babysat that have cracked up over page one of the bad beginning

READ IT OR ELSE:)"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&filterByStar=five_star&pageNumber=51&reviewerType=all_reviews
1556763697-467|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ryan Costantino|Delightfully Dastardly Beginning to a Wonderful Series!!|24-Sep-01|"Lemony Snicket ( a dubious moniker if there ever was, and certainly not to be trusted) has set forth the task of developing one of the most enjoyable (and downright nasty) children's series of books, aptly entitled ""A Series of Unfortunate Events"". The events that befall the hapless Baudelaire trio (Violet, Klaus, and the infant Sunny) are shocking, disturbing, cruel, and very, very unfortunate. So why read, one may ask? Well, for one thing twisted accounts of devious circumstances are always enjoyable when viewed from a distance (ie. the pages of a fictitious book, fictitious meaning ""not real"") and while bad things happen, even worse things are averted through intelligence, cunning, and the urge to teethe. Besides, who could resist such dark fun? It is sad, it is funny, there is an overlying sense of menace throughout but one reads in the hopes that our loveable protagonistic trio will prevail. But will they...? A Series of Unfortunate Events is a great way to get kids who are reluctant to read to do just that, much easier than say leaving such a child bound and gagged in a bird cage dangling thirty some feet above unpleasantly hard ground until they come to their senses! By no means is this series just for kids, ""kids"" meaning the offspring of goats, or perhaps humans? If you like Edward Gorey you'll love this series. Just pray that Lemony Snicket doesn't realize how deranged he is and decides to take medication to alleviate his madness. I, for one, enjoy it!"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=five_star&pageNumber=47&reviewerType=all_reviews
